student_id,school_id,school_type,gender,marriage_status,physical_disability,district,area_type,wealth_level,age,distance_to_school,library_access,internet_access,attendance_rate,academic_score,class_repetition,education_level,dropout
STU-006253,SCH-011,Private,Female,Single,0,Sindhuli,Urban,Second,8,0.97,1,1,85%,2.8,0,Primary,0
STU-004522,SCH-469,Public,Male,Single,0,Sindhuli,Rural,Fourth,6,0.86,0,0,40%,1.6,1,Primary,1
STU-000577,SCH-288,Public,Male,Single,0,Chitwan,Rural,Middle,5,1.94,0,1,73%,2.4,2,Primary,1
STU-005203,SCH-223,Public,Female,Single,0,Kathmandu,Urban,Fourth,11,3.22,0,1,59%,3.2,0,Lower Secondary,0
STU-002751,SCH-256,Private,Female,Single,0,Chitwan,Rural,Fourth,11,2.76,1,1,54%,2,0,Lower Secondary,1
STU-005273,SCH-371,Public,Female,Single,1,Kathmandu,Urban,Poorest,9,0.98,0,1,78%,2.8,0,Primary,0
STU-005654,SCH-295,Public,Male,Single,0,Makwanpur,Urban,Second,9,1.55,0,0,70%,2.8,0,Primary,0
STU-000583,SCH-354,Public,Female,Single,0,Chitwan,Rural,Second,11,1.65,0,0,40%,2,0,Lower Secondary,1
STU-009931,SCH-468,Private,Male,Single,0,Rasuwa,Rural,Middle,10,1.08,0,0,84%,3.2,0,Lower Secondary,0
STU-002250,SCH-026,Public,Male,Single,0,Lalitpur,Urban,Second,9,0.25,0,1,45%,2,2,Primary,1
STU-004641,SCH-220,Public,Male,Single,0,Sindhupalchok,Rural,Fourth,17,5.1,1,1,63%,2,0,Upper Secondary,1
STU-009486,SCH-423,Public,Male,Single,0,Kathmandu,Rural,Middle,7,0.26,0,0,65%,3.2,0,Primary,0
STU-004948,SCH-025,Private,Female,Single,0,Nuwakot,Rural,Fourth,6,1.99,1,1,76%,2,2,Primary,1
STU-009921,SCH-111,Private,Female,Single,1,Lalitpur,Urban,Richest,13,5.77,0,1,69%,4,0,Upper Secondary,0
STU-001964,SCH-098,Public,Male,Single,0,Makwanpur,Rural,Richest,18,1.34,1,1,54%,2.4,0,Upper Secondary,1
STU-008848,SCH-329,Public,Female,Married,0,Kathmandu,Urban,Second,15,4.91,1,0,81%,2.8,0,Upper Secondary,0
STU-000322,SCH-170,Private,Male,Single,0,Dhading,Rural,Fourth,8,1.27,0,1,55%,1.6,0,Primary,1
STU-004626,SCH-208,Public,Male,Single,0,Dolakha,Rural,Fourth,7,1.16,1,1,71%,2.4,0,Primary,1
STU-008329,SCH-180,Public,Male,Single,0,Lalitpur,Urban,Poorest,7,1.66,1,0,68%,2.8,0,Primary,0
STU-005590,SCH-144,Private,Male,Single,0,Dhading,Rural,Second,8,1.15,0,1,67%,3.2,0,Primary,0
STU-000252,SCH-450,Private,Female,Single,0,Nuwakot,Urban,Middle,10,1.04,0,1,60%,2.4,0,Lower Secondary,1
STU-003974,SCH-098,Public,Female,Single,0,Kathmandu,Urban,Poorest,11,1.49,0,1,60%,2,0,Lower Secondary,1
STU-000036,SCH-143,Public,Male,Single,0,Sindhuli,Rural,Second,17,5.17,0,1,40%,2,0,Upper Secondary,1
STU-008363,SCH-414,Public,Female,Single,0,Dolakha,Rural,Middle,9,0.83,0,0,60%,2.8,0,Primary,0
STU-001514,SCH-283,Public,Male,Single,0,Dolakha,Rural,Richest,13,5.95,0,1,55%,2,0,Upper Secondary,1
STU-000040,SCH-389,Private,Male,Single,0,Kathmandu,Urban,Middle,12,1.7,1,1,79%,2.8,1,Lower Secondary,1
STU-003466,SCH-408,Public,Female,Single,0,Dhading,Rural,Second,6,0.1,0,0,40%,1.6,0,Primary,1
STU-003724,SCH-058,Public,Male,Single,0,Bhaktapur,Urban,Second,9,1.16,1,1,67%,2.4,2,Primary,1
STU-008285,SCH-256,Public,Male,Single,0,Ramechhap,Rural,Second,7,1.29,0,1,76%,3.2,0,Primary,0
STU-004994,SCH-120,Private,Male,Single,0,Kathmandu,Urban,Fourth,10,0.78,1,1,79%,2,0,Lower Secondary,1
STU-003033,SCH-406,Public,Female,Single,0,Chitwan,Rural,Middle,10,3.11,0,1,60%,2,1,Lower Secondary,1
STU-007939,SCH-110,Private,Female,Single,0,Dolakha,Urban,Richest,9,1.01,1,1,81%,3.6,0,Primary,0
STU-009656,SCH-338,Public,Female,Single,0,Dolakha,Rural,Richest,6,0.59,0,0,74%,2.8,0,Primary,0
STU-002593,SCH-079,Public,Male,Single,0,Makwanpur,Urban,Fourth,10,1.51,1,1,71%,2.8,1,Lower Secondary,1
STU-007967,SCH-114,Public,Male,Single,0,Dolakha,Rural,Fourth,11,2.89,0,1,77%,3.6,0,Lower Secondary,0
